x,n,error(log10)
0.08203125,128,-4.34672184329633395034e2
0.08203125,256,-8.71247175243752879596e2
0.08203125,512,-1.23281869918218687438e3
0.0859375,16,-5.20614802159500355829e1
0.0859375,32,-1.06016008820168999340e2
0.0859375,64,-2.13919553490109978896e2
0.0859375,128,-4.29723886230582394415e2
0.0859375,256,-8.61331173370395923922e2
0.0859375,512,-1.23236098828404524093e3
0.08984375,16,-5.14876807210390708822e1
0.08984375,32,-1.04849932723388810090e2
0.08984375,64,-2.11568905472124245917e2
0.08984375,128,-4.25004085027200000406e2
0.08984375,256,-8.51873061126693588144e2
0.08984375,512,-1.23285662404466748031e3
0.09375,16,-5.09392890095957521952e1
0.09375,32,-1.03735491480003593523e2
0.09375,64,-2.09322346496478211767e2
0.09375,128,-4.20493281268588832470e2
0.09375,256,-8.42833763144896184531e2
0.09375,512,-inf
0.09765625,16,-5.04142250431846645468e1
0.09765625,32,-1.02668457918264686915e2
0.09765625,64,-2.07171355124449430261e2
0.09765625,128,-4.16174364981905666126e2
0.09765625,256,-8.34178992383832379936e2
0.09765625,512,-1.23289126199814499449e3
0.1015625,16,-4.99106536702538295712e1
0.1015625,32,-1.01645102539727837233e2
0.1015625,64,-2.05108413163465647885e2
0.1015625,128,-4.12032240586150946026e2
0.1015625,256,-8.25878498485562417522e2
0.1015625,512,-1.23260648174165360046e3
0.10546875,16,-4.94269476377575897736e1
0.10546875,32,-1.00662118349326131202e2
0.10546875,64,-2.03126854134077768588e2
0.10546875,128,-4.08053522632941791913e2
0.10546875,256,-8.17905458063751190960e2
0.10546875,512,-1.23292312087310878728e3
0.109375,16,-4.89616573328616231838e1
0.109375,32,-9.97165593627065980300e1
0.109375,64,-2.01220739308559576833e2
0.109375,128,-4.04226286907637934561e2
0.109375,256,-8.10235975929846592281e2
0.109375,512,-inf
0.11328125,16,-4.85134858367262400581e1
0.11328125,32,-9.88057899090807287515e1
0.11328125,64,-1.99384755511892647418e2
0.11328125,128,-4.00539865226595379329e2
0.11328125,256,-8.02848673882870669272e2
0.11328125,512,-1.23265156945072169941e3
0.1171875,16,-4.80812682091342966960e1
0.1171875,32,-9.79274425322430772505e1
0.1171875,64,-1.97614130255566267124e2
0.1171875,128,-3.96984675036528942284e2
0.1171875,256,-7.95724349239907377230e2
0.1171875,512,-inf
0.12109375,16,-4.76639541710843653526e1
0.12109375,32,-9.70793827971321450073e1
0.12109375,64,-1.95904560792073696317e2
0.12109375,128,-3.93552076964879239285e2
0.12109375,256,-7.88845689378211009866e2
0.12109375,512,-1.23298001658563996733e3
0.125,16,-4.72605935376949211470e1
0.125,32,-9.62596796857329993849e1
0.125,64,-1.94252154436811598150e2
0.125,128,-3.90234254993705711213e2
0.125,256,-7.82197031613086403737e2
0.125,512,-inf
0.12890625,16,-4.68703238933593429404e1
0.12890625,32,-9.54665805498121808281e1
0.12890625,64,-1.92653378075974707493e2
0.12890625,128,-3.87024115077900791063e2
0.12890625,256,-7.75764160036742089024e2
0.12890625,512,-1.23240357127343333596e3
0.1328125,16,-4.64923601073241864230e1
0.1328125,32,-9.46984898038676369138e1
0.1328125,64,-1.91105015214249036930e2
0.1328125,128,-3.83915198902369628973e2
0.1328125,256,-7.69534132694443040206e2
0.1328125,512,-1.23271680079892978410e3
0.13671875,16,-4.61259853694445094895e1
0.13671875,32,-9.39539507074707204141e1
0.13671875,64,-1.89604129250327171111e2
0.13671875,128,-3.80901610143891954749e2
0.13671875,256,-7.63495133819065662746e2
0.13671875,512,-1.23242759668891471475e3
0.140625,16,-4.57705434890544186102e1
0.140625,32,-9.32316297145842718627e1
0.140625,64,-1.88148031927121373507e2
0.140625,128,-3.77977951123125209026e2
0.140625,256,-7.57636346886680961099e2
0.140625,512,-1.23226297883664504508e3
0.14453125,16,-4.54254322492179515567e1
0.14453125,32,-9.25303029676858922451e1
0.14453125,64,-1.86734256105631591689e2
0.14453125,128,-3.75139268137961990183e2
0.14453125,256,-7.51947845068890857139e2
0.14453125,512,-inf
0.1484375,16,-4.50900976474229582189e1
0.1484375,32,-9.18488445933721379330e1
0.1484375,64,-1.85360532170370234003e2
0.1484375,128,-3.72381004088595971374e2
0.1484375,256,-7.46420496297176376355e2
0.1484375,512,-inf
0.15234375,16,-4.47640288845117831488e1
0.15234375,32,-9.11862165185729809381e1
0.15234375,64,-1.84024767500144139575e2
0.15234375,128,-3.69698957257438867321e2
0.15234375,256,-7.41045880661084596888e2
0.15234375,512,-1.23277259206639597032e3
0.15625,16,-4.44467539881463207304e1
0.15625,32,-9.05414595763038561876e1
0.15625,64,-1.82725028538380564933e2
0.15625,128,-3.67089245308594277328e2
0.15625,256,-7.35816218265998194174e2
0.15625,512,-inf
0.16015625,16,-4.41378359767660632462e1
0.16015625,32,-8.99136857098389436565e1
0.16015625,64,-1.81459525077730890207e2
0.16015625,128,-3.64548273733322217681e2
0.16015625,256,-7.30724306000321614814e2
0.16015625,512,-1.23231568735632221302e3
0.1640625,16,-4.38368694858668947769e1
0.1640625,32,-8.93020711164395060290e1
0.1640625,64,-1.80226596438698001013e2
0.1640625,128,-3.62072708098464570466e2
0.1640625,256,-7.25763461923502648495e2
0.1640625,512,-1.23250149587223153230e3
0.16796875,16,-4.35434777913090105408e1
0.16796875,32,-8.87058501979478599825e1
0.16796875,64,-1.79024699274802321097e2
0.16796875,128,-3.59659449560755217756e2
0.16796875,256,-7.20927476198630754703e2
0.16796875,512,-inf
0.171875,16,-4.32573101748730788108e1
0.171875,32,-8.81243102069180902913e1
0.171875,64,-1.77852396779861589016e2
0.171875,128,-3.57305613196397922666e2
0.171875,256,-7.16210567666611142152e2
0.171875,512,-1.23252020919223003674e3
0.17578125,16,-4.29780395859041398435e1
0.17578125,32,-8.75567864944734472283e1
0.17578125,64,-1.76708349108275211415e2
0.17578125,128,-3.55008508766204573965e2
0.17578125,256,-7.11607345301010785857e2
0.17578125,512,-1.23222819711941050205e3
0.1796875,16,-4.27053605599868385379e1
0.1796875,32,-8.70026582805177368907e1
0.1796875,64,-1.75591304848307928340e2
0.1796875,128,-3.52765623595023381271e2
0.1796875,256,-7.07112773899775672075e2
0.1796875,512,-1.23253803258101086761e3
0.18359375,16,-4.24389873614770131643e1
0.18359375,32,-8.64613448788805887263e1
0.18359375,64,-1.74500093412462398698e2
0.18359375,128,-3.50574607292566076668e2
0.18359375,256,-7.02722143466967222377e2
0.18359375,512,-1.23284766480113366020e3
0.1875,16,-4.21786523216051714402e1
0.1875,32,-8.59323023199152607601e1
0.1875,64,-1.73433618229065624812e2
0.1875,128,-3.48433258082971558519e2
0.1875,256,-6.98431041818280366315e2
0.1875,512,-inf
0.19140625,16,-4.19241043479509310199e1
0.19140625,32,-8.54150203213664618746e1
0.19140625,64,-1.72390850635923499977e2
0.19140625,128,-3.46339510544033870532e2
0.19140625,256,-6.94235330011418373966e2
0.19140625,512,-1.23286429352152230001e3
0.1953125,16,-4.16751075845108597777e1
0.1953125,32,-8.49090195652828180431e1
0.1953125,64,-1.71370824390922488947e2
0.1953125,128,-3.44291424585182292008e2
0.1953125,256,-6.90131120258829756373e2
0.1953125,512,-1.23239521446716078305e3
0.19921875,16,-4.14314402044630216524e1
0.19921875,32,-8.44138492446032814767e1
0.19921875,64,-1.70372630726259726675e2
0.19921875,128,-3.42287175516998797375e2
0.19921875,256,-6.86114756027800437449e2
0.19921875,512,-1.23288020617178369789e3
0.203125,16,-4.11928933201647527284e1
0.203125,32,-8.39290848479917104053e1
0.203125,64,-1.69395413882951169117e2
0.203125,128,-3.40325045085073330921e2
0.203125,256,-6.82182794073003267563e2
0.203125,512,-1.23218894160346813783e3
0.20703125,16,-4.09592699969825254048e1
0.20703125,32,-8.34543261556850404224e1
0.20703125,64,-1.68438367070716343166e2
0.20703125,128,-3.38403413357961696127e2
0.20703125,256,-6.78331988180602182747e2
0.20703125,512,-1.23289545838095390404e3
0.2109375,16,-4.07303843593066178069e1
0.2109375,32,-8.29891954226847630471e1
0.2109375,64,-1.67500728805523408351e2
0.2109375,128,-3.36520751373437766141e2
0.2109375,256,-6.74559274431918704022e2
0.2109375,512,-1.23290285248552293568e3
0.21484375,16,-4.05060607785996473182e1
0.21484375,32,-8.25333357286623796772e1
0.21484375,64,-1.66581779583208417068e2
0.21484375,128,-3.34675614459540339370e2
0.21484375,256,-6.70861757819333975091e2
0.21484375,512,-1.23260906958960686127e3
0.21875,16,-4.02861331346086231762e1
0.21875,32,-8.20864094765520007928e1
0.21875,64,-1.65680838852828973008e2
0.21875,128,-3.32866636157448899441e2
0.21875,256,-6.67236700068208716944e2
0.21875,512,-1.23261617504159440322e3
0.22265625,16,-4.00704441419693998333e1
0.22265625,32,-8.16480970240371727065e1
0.22265625,64,-1.64797262257915771265e2
0.22265625,128,-3.31092522682264565397e2
0.22265625,256,-6.63681508536722989913e2
0.22265625,512,-1.23262314391790565609e3
0.2265625,16,-3.98588447353786662563e1
0.2265625,32,-8.12180954340620454031e1
0.2265625,64,-1.63930439117662090389e2
0.2265625,128,-3.29352047865556215832e2
0.2265625,256,-6.60193726081135573811e2
0.2265625,512,-1.23215285977076122524e3
0.23046875,16,-3.96511935073254270987e1
0.23046875,32,-8.07961173321569855904e1
0.23046875,64,-1.63079790123437636877e2
0.23046875,128,-3.27644048530250780171e2
0.23046875,256,-6.56771021787427144752e2
0.23046875,512,-1.23233566092858999036e3
0.234375,16,-3.94473561930809027910e1
0.234375,32,-8.03818898598054868165e1
0.234375,64,-1.62244765228909443561e2
0.234375,128,-3.25967420254262097781e2
0.234375,256,-6.53411182481945047821e2
0.234375,512,-1.23234224794810135937e3
0.23828125,16,-3.92472051982592423501e1
0.23828125,32,-7.99751537143259512731e1
0.23828125,64,-1.61424841714565758131e2
0.23828125,128,-3.24321113484299004395e2
0.23828125,256,-6.50112104943779771517e2
0.23828125,512,-1.23225180618972965536e3
0.2421875,16,-3.90506191647950919371e1
0.2421875,32,-7.95756622668264308454e1
0.2421875,64,-1.60619522409625098430e2
0.2421875,128,-3.22704129965683000576e2
0.2421875,256,-6.46871788750399834924e2
0.2421875,512,-1.23235506960573246863e3
0.24609375,16,-3.88574825716493902680e1
0.24609375,32,-7.91831807507360817017e1
0.24609375,64,-1.59828334056218995151e2
0.24609375,128,-3.21115519457833555595e2
0.24609375,256,-6.43688329695742206440e2
0.24609375,512,-1.23266234187770995158e3
0.25,16,-3.86676853669614543717e1
0.25,32,-7.87974855142435906033e1
0.25,64,-1.59050825802403069505e2
0.25,128,-3.19554376708424473002e2
0.25,256,-6.40559913726659237741e2
0.25,512,-inf
0.25390625,16,-3.84811226287216593875e1
0.25390625,32,-7.84183633306968031256e1
0.25390625,64,-1.58286567812010529021e2
0.25390625,128,-3.18019838662145107023e2
0.25390625,256,-6.37484811349495314118e2
0.25390625,512,-1.23237347708337997961e3
0.2578125,16,-3.82976942513517379121e1
0.2578125,32,-7.80456107616533154159e1
