x,n,error(log10)
0.4453125,64,-1.31508503751944709302e2
0.4453125,128,-2.64252486119507647486e2
0.4453125,256,-5.29738685531059698291e2
0.4453125,512,-1.06071020171018306579e3
0.44921875,16,-3.18465949227606592016e1
0.44921875,32,-6.49361232270328635529e1
0.44921875,64,-1.31108100389334590883e2
0.44921875,128,-2.63448516151815212068e2
0.44921875,256,-5.28127578540355267296e2
0.44921875,512,-1.05748481876728970589e3
0.453125,16,-3.17498300003480790440e1
0.453125,32,-6.47394844324075570386e1
0.453125,64,-1.30711698585554702053e2
0.453125,128,-2.62652580713988777657e2
0.453125,256,-5.26532572028640325861e2
0.453125,512,-1.05429166820515904271e3
0.45703125,16,-3.16540246424936723480e1
0.45703125,32,-6.45447955802041221282e1
0.45703125,64,-1.30319227507945130245e2
0.45703125,128,-2.61864537583857021721e2
0.45703125,256,-5.24953380994684599364e2
0.45703125,512,-1.05113017946442483272e3
0.4609375,16,-3.15591620034653677307e1
0.4609375,32,-6.43520224366652003009e1
0.4609375,64,-1.29930618146554373255e2
0.4609375,128,-2.61084248199008456214e2
0.4609375,256,-5.23389727771120789454e2
0.4609375,512,-1.04799979666779023898e3
0.46484375,16,-3.14652256674011952099e1
0.46484375,32,-6.41611316416295086744e1
0.46484375,64,-1.29545803252480117912e2
0.46484375,128,-2.60311577532987589907e2
0.46484375,256,-5.21841341776351500504e2
0.46484375,512,-1.04489997812335628421e3
0.46875,16,-3.13721996338886561651e1
0.46875,32,-6.39720906792255295323e1
0.46875,64,-1.29164717278791555955e2
0.46875,128,-2.59546393976674490610e2
0.46875,256,-5.20307959276843291310e2
0.46875,512,-1.04183019584874487989e3
0.47265625,16,-3.12800683041428506156e1
0.47265625,32,-6.37848678497820273462e1
0.47265625,64,-1.28787296323904667928e2
0.47265625,128,-2.58788569224589596531e2
0.47265625,256,-5.18789323159290538262e2
0.47265625,512,-1.03878993511498079145e3
0.4765625,16,-3.11888164677537870189e1
0.4765625,32,-6.35994322428952896980e1
0.4765625,64,-1.28413478077289313920e2
0.4765625,128,-2.58037978165880500449e2
0.4765625,256,-5.17285182712161603276e2
0.4765625,512,-1.03577869400915657220e3
0.48046875,16,-3.10984292899749899448e1
0.48046875,32,-6.34157537115964233444e1
0.48046875,64,-1.28043201767393894142e2
0.48046875,128,-2.57294498779761333206e2
0.48046875,256,-5.15795293416167660074e2
0.48046875,512,-1.03279598301496027365e3
0.484375,16,-3.10088922995271016479e1
0.484375,32,-6.32338028475652489824e1
0.484375,64,-1.27676408111679817980e2
0.484375,128,-2.56558012035188375308e2
0.484375,256,-5.14319416743220587866e2
0.484375,512,-1.02984132461019790183e3
0.48828125,16,-3.09201913768916526514e1
0.48828125,32,-6.30535509573403441698e1
0.48828125,64,-1.27313039268664079651e2
0.48828125,128,-2.55828401794567692121e2
0.48828125,256,-5.12857319963470722639e2
0.48828125,512,-1.02691425288049139932e3
0.4921875,16,-3.08323127430715612530e1
0.4921875,32,-6.28749700394775981195e1
0.4921875,64,-1.26953038791873911810e2
0.4921875,128,-2.55105554721301979210e2
0.4921875,256,-5.11408775960038083061e2
0.4921875,512,-1.02401431314837863078e3
0.49609375,16,-3.07452429487962190812e1
0.49609375,32,-6.26980327626122783687e1
0.49609375,64,-1.26596351585622802824e2
0.49609375,128,-2.54389360190994475060e2
0.49609375,256,-5.09973563051072071182e2
0.49609375,512,-1.02114106161708465819e3
0.5,16,-3.06589688641502356481e1
0.5,32,-6.25227124443820801738e1
0.5,64,-1.26242923862522144399e2
0.5,128,-2.53679710206137799452e2
0.5,256,-5.08551464818794689468e2
0.5,512,-1.01829406502827371377e3
0.50390625,16,-3.05734776686060549622e1
0.50390625,32,-6.23489830311709465033e1
0.50390625,64,-1.25892703102647447032e2
0.50390625,128,-2.52976499314124954197e2
0.50390625,256,-5.07142269945201109281e2
0.50390625,512,-1.01547290033312890253e3
0.5078125,16,-3.04887568414417269508e1
0.5078125,32,-6.21768190786356203679e1
0.5078125,64,-1.25545638014282443002e2
0.5078125,128,-2.52279624528428521903e2
0.5078125,256,-5.05745772054109058422e2
0.5078125,512,-1.01267715437614196601e3
0.51171875,16,-3.04047941525261205418e1
0.51171875,32,-6.20061957329789318244e1
0.51171875,64,-1.25201678496168510222e2
0.51171875,128,-2.51588985252802358031e2
0.51171875,256,-5.04361769559265046866e2
0.51171875,512,-1.00990642359102857398e3
0.515625,16,-3.03215776534548082700e1
0.515625,32,-6.18370887129357384397e1
0.515625,64,-1.24860775601190713558e2
0.515625,128,-2.50904483208367828534e2
0.515625,256,-5.02990065518230994317e2
0.515625,512,-1.00716031370821573047e3
0.51953125,16,-3.02390956690207383462e1
0.51953125,32,-6.16694742924392387250e1
0.51953125,64,-1.24522881501435390291e2
0.51953125,128,-2.50226022363453934011e2
0.51953125,256,-5.01630467491789429114e2
0.51953125,512,-1.00443843947337712087e3
0.5234375,16,-3.01573367890046430976e1
0.5234375,32,-6.15033292839370708662e1
0.5234375,64,-1.24187949454557618854e2
0.5234375,128,-2.49553508866067513216e2
0.5234375,256,-5.00282787408619158620e2
0.5234375,512,-1.00174042437651971476e3
0.52734375,16,-3.00762898602709161117e1
0.52734375,32,-6.13386310223282011908e1
0.52734375,64,-1.23855933771400119520e2
0.52734375,128,-2.48886850978876162981e2
0.52734375,256,-4.98946841435006225040e2
0.52734375,512,-9.99065900391150792189e2
0.53125,16,-2.99959439791554275825e1
0.53125,32,-6.11753573494931049273e1
0.53125,64,-1.23526789784808155697e2
0.53125,128,-2.48225959016592575455e2
0.53125,256,-4.97622449849367111985e2
0.53125,512,-9.96414507723078887656e2
0.53515625,16,-2.99162884841324413164e1
0.53515625,32,-6.10134865993911521119e1
0.53515625,64,-1.23200473819587847482e2
0.53515625,128,-2.47570745285654701900e2
0.53515625,256,-4.96309436921372606208e2
0.53515625,512,-9.93785894568425046430e2
0.5390625,16,-2.98373129487484504364e1
0.5390625,32,-6.08529975837004397463e1
0.5390625,64,-1.22876943163557986705e2
0.5390625,128,-2.46921124026101528506e2
0.5390625,256,-4.95007630795471492484e2
0.5390625,512,-9.91179716880442356330e2
0.54296875,16,-2.97590071748113646486e1
0.54296875,32,-6.06938695779765628234e1
0.54296875,64,-1.22556156039647965586e2
0.54296875,128,-2.46277011355549315379e2
0.54296875,256,-4.93716863378623410800e2
0.54296875,512,-9.88595638144762040068e2
0.546875,16,-2.96813611858240624437e1
0.546875,32,-6.05360823083079965824e1
0.546875,64,-1.22238071578996809330e2
0.546875,128,-2.45638325215177924969e2
0.546875,256,-4.92436970232059774002e2
0.546875,512,-9.86033329162703550139e2
0.55078125,16,-2.96043652206518690560e1
0.55078125,32,-6.03796159384468749111e1
0.55078125,64,-1.21922649795010545792e2
0.55078125,128,-2.45004985317641369439e2
0.55078125,256,-4.91167790466900668183e2
0.55078125,512,-9.83492467842304174046e2
0.5546875,16,-2.95280097274140375007e1
0.5546875,32,-6.02244510573949994749e1
0.5546875,64,-1.21609851558337261272e2
0.5546875,128,-2.44376913096820955074e2
0.5546875,256,-4.89909166643464171956e2
0.5546875,512,-9.80972738996740702106e2
0.55859375,16,-2.94522853575897975095e1
0.55859375,32,-6.00705686674259048721e1
0.55859375,64,-1.21299638572721188732e2
0.55859375,128,-2.43754031659343411928e2
0.55859375,256,-4.88660944674112566622e2
0.55859375,512,-9.78473834149831797498e2
0.5625,16,-2.93771829603299975038e1
0.5625,32,-5.99179501725247406037e1
0.5625,64,-1.20991973351699060493e2
0.5625,128,-2.43136265737790183365e2
0.5625,256,-4.87422973729487497088e2
0.5625,512,-9.75995451348324898793e2
0.56640625,16,-2.93026935769657995783e1
0.56640625,32,-5.97665773672286143384e1
0.56640625,64,-1.20686819196103738917e2
0.56640625,128,-2.42523541645527627022e2
0.56640625,256,-4.86195106147993311128e2
0.56640625,512,-9.73537294980685834648e2
0.5703125,16,-2.92288084357062983895e1
0.5703125,32,-5.96164324258508760540e1
0.5703125,64,-1.20384140172341822031e2
0.5703125,128,-2.41915787233091258896e2
0.5703125,256,-4.84977197348394578133e2
0.5703125,512,-9.71099075602122890784e2
0.57421875,16,-2.91555189465173233249e1
0.57421875,32,-5.94674978920736121302e1
0.57421875,64,-1.20083901091413512555e2
0.57421875,128,-2.41312931846060367801e2
0.57421875,256,-4.83769105745400192215e2
0.57421875,512,-9.68680509765589889264e2
0.578125,16,-2.90828166961740507410e1
0.578125,32,-5.93197566688933651395e1
0.578125,64,-1.19786067488644544002e2
0.578125,128,-2.40714906284362349703e2
0.578125,256,-4.82570692668112520828e2
0.578125,512,-9.66281319858524964586e2
0.58203125,16,-2.90106934434804006688e1
0.58203125,32,-5.91731920089058015247e1
0.58203125,64,-1.19490605604101381614e2
0.58203125,128,-2.40121642762948970852e2
0.58203125,256,-4.81381822281225790111e2
0.58203125,512,-9.63901233945093192381e2
0.5859375,16,-2.89391411146485214024e1
0.5859375,32,-5.90277875049157179905e1
0.5859375,64,-1.19197482363662263790e2
0.5859375,128,-2.39533074873789474992e2
0.5859375,256,-4.80202361508863321558e2
0.5859375,512,-9.61539985613712083916e2
0.58984375,16,-2.88681517988319769034e1
0.58984375,32,-5.88835270808594105263e1
0.58984375,64,-1.18906665360717925877e2
0.58984375,128,-2.38949137549128012491e2
0.58984375,256,-4.79032179960948369679e2
0.58984375,512,-9.59197313829649239790e2
0.59375,16,-2.87977177438065470281e1
0.59375,32,-5.87403949830270296394e1
0.59375,64,-1.18618122838477057058e2
0.59375,128,-2.38369767025955296359e2
0.59375,256,-4.77871149862008174234e2
0.59375,512,-9.56872962792491193527e2
0.59765625,16,-2.87278313517928301719e1
0.59765625,32,-5.85983757715731135727e1
0.59765625,64,-1.18331823672852686466e2
0.59765625,128,-2.37794900811646690044e2
0.59765625,256,-4.76719145982315449317e2
0.59765625,512,-9.54566681798291702238e2
0.6015625,16,-2.86584851754151029435e1
0.6015625,32,-5.84574543123040298660e1
0.6015625,64,-1.18047737355906780371e2
0.6015625,128,-2.37224477650721111814e2
0.6015625,256,-4.75576045571275900099e2
0.6015625,512,-9.52278225106216487061e2
0.60546875,16,-2.85896719137911427745e1
0.60546875,32,-5.83176157687315663145e1
0.60546875,64,-1.17765833979831361789e2
0.60546875,128,-2.36658437492677207653e2
0.60546875,256,-4.74441728292974500306e2
0.60546875,512,-9.50007351809509718795e2
0.609375,16,-2.85213844087479577351e1
0.609375,32,-5.81788455943823967917e1
0.609375,64,-1.17486084221445440375e2
0.609375,128,-2.36096721460865205336e2
0.609375,256,-4.73316076163797192674e2
0.609375,512,-9.47753825710615410130e2
0.61328125,16,-2.84536156411585940047e1
0.61328125,32,-5.80411295253536070589e1
0.61328125,64,-1.17208459327187967067e2
0.61328125,128,-2.35539271822354722833e2
0.61328125,256,-4.72198973492048402909e2
0.61328125,512,-9.45517415200294339751e2
0.6171875,16,-2.83863587273954061324e1
0.6171875,32,-5.79044535731049019861e1
0.6171875,64,-1.16932931098587907479e2
0.6171875,128,-2.34986031958760570174e2
0.6171875,256,-4.71090306819488296589e2
0.6171875,512,-9.43297893140584218339e2
0.62109375,16,-2.83196069158953790804e1
0.62109375,32,-5.77688040174785298867e1
0.62109375,64,-1.16659471878193363165e2
0.62109375,128,-2.34436946337990260778e2
0.62109375,256,-4.69989964864717068695e2
0.62109375,512,-9.41095036751457533553e2
0.625,16,-2.82533535838332846612e1
0.625,32,-5.76341673999383531698e1
0.625,64,-1.16388054535942463148e2
0.625,128,-2.33891960486878540949e2
0.625,256,-4.68897838468336747172e2
0.625,512,-9.38908627501037900793e2
0.62890625,16,-2.81875922338986389627e1
0.62890625,32,-5.75005305170198683925e1
0.62890625,64,-1.16118652455959501764e2
0.62890625,128,-2.33351020964675759593e2
0.62890625,256,-4.67813820539824024536e2
0.62890625,512,-9.36738450999241817638e2
0.6328125,16,-2.81223164911726022074e1
0.6328125,32,-5.73678804139833341611e1
0.6328125,64,-1.15851239523760515272e2
0.6328125,128,-2.32814075337358338578e2
0.6328125,256,-4.66737806006050513881e2
0.6328125,512,-9.34584296894718490252e2
0.63671875,16,-2.80575201001011287499e1
0.63671875,32,-5.72362043786625031879e1
0.63671875,64,-1.15585790113853170759e2
0.63671875,128,-2.32281072152730971686e2
0.63671875,256,-4.65669691761389566139e2
0.63671875,512,-9.32445958774965886330e2
0.640625,16,-2.79931969215608330252e1
0.640625,32,-5.71054899355017761474e1
0.640625,64,-1.15322279077716488611e2
0.640625,128,-2.31751960916291480755e2
0.640625,256,-4.64609376619351391744e2
0.640625,512,-9.30323234069506386937e2
0.64453125,16,-2.79293409300141876923e1
0.64453125,32,-5.69757248397749006729e1
0.64453125,64,-1.15060681732146536122e2
0.64453125,128,-2.31226692067830494951e2
0.64453125,256,-4.63556761265690709487e2
0.64453125,512,-9.28215923956010373617e2
0.6484375,16,-2.78659462107508133657e1
0.6484375,32,-5.68468970719786297633e1
0.6484375,64,-1.14800973847954816230e2
0.6484375,128,-2.30705216958739296681e2
0.6484375,256,-4.62511748212933505015e2
0.6484375,512,-9.26123833269260811216e2
0.65234375,16,-2.78030069572117556036e1
0.65234375,32,-5.67189948323950308088e1
0.65234375,64,-1.14543131639006633691e2
0.65234375,128,-2.30187487830000298600e2
0.65234375,256,-4.61474241756271727794e2
0.65234375,512,-9.24046770412856383873e2
0.65625,16,-2.77405174683937745863e1
0.65625,32,-5.65920065358164001634e1
0.65625,64,-1.14287131751587252595e2
0.65625,128,-2.29673457790835683603e2
0.65625,256,-4.60444147930776894337e2
0.65625,512,-9.21984547273555023884e2
0.66015625,16,-2.76784721463307965214e1
0.66015625,32,-5.64659208064269893849e1
0.66015625,64,-1.14032951254084165510e2
0.66015625,128,-2.29163080797990756409e2
0.66015625,256,-4.59421374469885602989e2
0.66015625,512,-9.19936979138163752036e2
0.6640625,16,-2.76168654936497935814e1
0.6640625,32,-5.63407264728359885970e1
0.6640625,64,-1.13780567626974277016e2
0.6640625,128,-2.28656311635629524102e2
0.6640625,256,-4.58405830765111906821e2
0.6640625,512,-9.17903884612884634381e2
0.66796875,16,-2.75556921111984714206e1
0.66796875,32,-5.62164125632564405362e1
0.66796875,64,-1.13529958753105264210e2
0.66796875,128,-2.28153105895820946270e2
0.66796875,256,-4.57397427826943341384e2
0.66796875,512,-9.15885085545030364395e2
0.671875,16,-2.74949466957422503262e1
0.671875,32,-5.60929683008249763095e1
0.671875,64,-1.13281102908260815155e2
0.671875,128,-2.27653419959595175585e2
0.671875,256,-4.56396078246879167931e2
0.671875,512,-9.13880406947026510680e2
0.67578125,16,-2.74346240377281280995e1
0.67578125,32,-5.59703830990574712632e1
0.67578125,64,-1.13033978751999864286e2
0.67578125,128,-2.27157210978549949065e2
0.67578125,256,-4.55401696160571074793e2
0.67578125,512,-9.11889676922620837748e2
0.6796875,16,-2.73747190191131101005e1
0.6796875,32,-5.58486465574359171812e1
0.6796875,64,-1.12788565318760342549e2
0.6796875,128,-2.26664436856988090921e2
0.6796875,256,-4.54414197212028184052e2
0.6796875,512,-9.09912726595223319576e2
0.68359375,16,-2.73152266112549847653e1
0.68359375,32,-5.57277484571219957708e1
0.68359375,64,-1.12544842009218340533e2
0.68359375,128,-2.26175056234567851862e2
0.68359375,256,-4.53433498518849741615e2
0.68359375,512,-9.07949390038303530418e2
0.6875,16,-2.72561418728633115414e1
0.6875,32,-5.56076787567930185376e1
0.6875,64,-1.12302788581893946013e2
0.6875,128,-2.25689028469448538857e2
0.6875,256,-4.52459518638450329886e2
0.6875,512,-9.05999504207775022528e2
0.69140625,16,-2.71974599480085728140e1
0.69140625,32,-5.54884275885960701206e1
0.69140625,64,-1.12062385144995363963e2
0.69140625,128,-2.25206313621914585453e2
0.69140625,256,-4.51492177535243837145e2
0.69140625,512,-9.04062908876299092907e2
0.6953125,16,-2.71391760641875221966e1
0.6953125,32,-5.53699852542163563816e1
0.6953125,64,-1.11823612148493258174e2
0.6953125,128,-2.24726872438461877423e2
0.6953125,256,-4.50531396548753749765e2
0.6953125,512,-9.02139446569443007875e2
0.69921875,16,-2.70812855304428387518e1
0.69921875,32,-5.52523422210559154038e1
0.69921875,64,-1.11586450376417569815e2
0.69921875,128,-2.24250666336330783464e2
0.69921875,256,-4.49577098362618605671e2
0.69921875,512,-9.00228962503630301344e2
0.703125,16,-2.70237837355352704470e1
0.703125,32,-5.51354891185189994214e1
0.703125,64,-1.11350880939369370387e2
0.703125,128,-2.23777657388470947242e2
0.703125,256,-4.48629206974462663106e2
0.703125,512,-8.98331304525823196253e2
0.70703125,16,-2.69666661461665206292e1
0.70703125,32,-5.50194167344005789280e1
0.70703125,64,-1.11116885267240595241e2
0.70703125,128,-2.23307808308923476821e2
0.70703125,256,-4.47687647666603000408e2
0.70703125,512,-8.96446323054879524337e2
0.7109375,16,-2.69099283052511986714e1
0.7109375,32,-5.49041160113745571233e1
0.7109375,64,-1.10884445102134779843e2
0.7109375,128,-2.22841082438606721668e2
0.7109375,256,-4.46752346977565373074e2
0.7109375,512,-8.94573871024528742566e2
0.71484375,16,-2.68535658302362203576e1
0.71484375,32,-5.47895780435784137650e1
0.71484375,64,-1.10653542491482184842e2
0.71484375,128,-2.22377443731492357304e2
0.71484375,256,-4.45823232674382216140e2
0.71484375,512,-8.92713803827913770293e2
0.71875,16,-2.67975744114661051816e1
0.71875,32,-5.46757940732911226943e1
0.71875,64,-1.10424159781342948396e2
0.71875,128,-2.21916856741159004424e2
0.71875,256,-4.44900233725647195476e2
0.71875,512,-8.90865979263647404185e2
0.72265625,16,-2.67419498105926766696e1
0.72265625,32,-5.45627554877013070767e1
0.72265625,64,-1.10196279609892145666e2
0.72265625,128,-2.21459286607711094100e2
0.72265625,256,-4.43983280275301683033e2
0.72265625,512,-8.89030257483334012854e2
0.7265625,16,-2.66866878590277282285e1
0.7265625,32,-5.44504538157627109993e1
0.7265625,64,-1.09969884901080866392e2
0.7265625,128,-2.21004699045051154571e2
0.7265625,256,-4.43072303617129460665e2
0.7265625,512,-8.87206500940509074078e2
0.73046875,16,-2.66317844564372709975e1
0.73046875,32,-5.43388807251341757618e1
0.73046875,64,-1.09744958858467642605e2
0.73046875,128,-2.20553060328494139074e2
0.73046875,256,-4.42167236169936846859e2
0.73046875,512,-8.85394574340950898622e2
0.734375,16,-2.65772355692760318498e1
0.734375,32,-5.42280280192014141993e1
0.734375,64,-1.09521484959214770205e2
0.734375,128,-2.20104337282712839236e2
0.734375,256,-4.41268011453396292399e2
0.734375,512,-8.83594344594320589796e2
0.73828125,16,-2.65230372293609191678e1
0.73828125,32,-5.41178876341779769284e1
0.73828125,64,-1.09299446948244270811e2
0.73828125,128,-2.19658497270003835493e2
0.73828125,256,-4.40374564064532306595e2
0.73828125,512,-8.81805680767087920633e2
0.7421875,16,-2.64691855324822214051e1
0.7421875,32,-5.40084516362829007138e1
0.7421875,64,-1.09078828832548434474e2
0.7421875,128,-2.19215508178863825853e2
0.7421875,256,-4.39486829654829356836e2
0.7421875,512,-8.80028454036702374362e2
0.74609375,16,-2.64156766370513488454e1
0.74609375,32,-5.38997122189926214086e1
0.74609375,64,-1.08859614875650069774e2
0.74609375,128,-2.18775338412866547704e2
0.74609375,256,-4.38604744907942132534e2
0.74609375,512,-8.78262537646970091983e2
0.75,16,-2.63625067627839724685e1
0.75,32,-5.37916617003648223311e1
0.75,64,-1.08641789592207766062e2
0.75,128,-2.18337956879830865247e2
0.75,256,-4.37728247517989281631e2
0.75,512,-8.76507806864598906267e2
0.75390625,16,-2.63096721894174555282e1
0.75390625,32,-5.36842925204319736672e1
0.75390625,64,-1.08425337742761643433e2
0.75390625,128,-2.17903332981270938040e2
0.75390625,256,-4.36857276168412415040e2
0.75390625,512,-8.74764138936875017377e2
0.7578125,16,-2.62571692554615134134e1
0.7578125,32,-5.35775972386623997171e1
0.7578125,64,-1.08210244328615229705e2
0.7578125,128,-2.17471436602119714954e2
0.7578125,256,-4.35991770511382833290e2
0.7578125,512,-8.73031413050436184249e2
0.76171875,16,-2.62049943569810756909e1
0.76171875,32,-5.34715685314867886875e1
0.76171875,64,-1.07996494586849260739e2
0.76171875,128,-2.17042238100717313063e2
0.76171875,256,-4.35131671147739061323e2
0.76171875,512,-8.71309510291107570588e2
0.765625,16,-2.61531439464103609817e1
0.765625,32,-5.33661991898881344310e1
0.765625,64,-1.07784073985463350991e2
0.765625,128,-2.16615708299056143363e2
0.765625,256,-4.34276919607438883316e2
0.765625,512,-8.69598313604767597285e2
0.76953125,16,-2.61016145313972105832e1
0.76953125,32,-5.32614821170531711866e1
0.76953125,64,-1.07572968218641625622e2
0.76953125,128,-2.16191818473274935210e2
0.76953125,256,-4.33427458330510150564e2
0.76953125,512,-8.67897707759212316582e2
0.7734375,16,-2.60504026736767605807e1
0.7734375,32,-5.31574103260834311309e1
0.7734375,64,-1.07363163202138544127e2
0.7734375,128,-2.15770540344394089695e2
0.7734375,256,-4.32583230648485193158e2
0.7734375,512,-8.66207579306987939761e2
0.77734375,16,-2.59995049879735646578e1
0.77734375,32,-5.30539769377641205292e1
0.77734375,64,-1.07154645068781278414e2
0.77734375,128,-2.15351846069285059219e2
0.77734375,256,-4.31744180766304201353e2
0.77734375,512,-8.64527816549162221507e2
0.78125,16,-2.59489181409313109800e1
0.78125,32,-5.29511751783890736104e1
0.78125,64,-1.06947400164085135966e2
0.78125,128,-2.14935708231866706873e2
0.78125,256,-4.30910253744673456236e2
0.78125,512,-8.62858309500006432549e2
0.78515625,16,-2.58986388500693064488e1
0.78515625,32,-5.28489983776401040986e1
0.78515625,64,-1.06741415041978641277e2
0.78515625,128,-2.14522099834521845388e2
0.78515625,256,-4.30081395482864782514e2
0.78515625,512,-8.61198949852560639580e2
0.7890625,16,-2.58486638827649303532e1
0.7890625,32,-5.27474399665191327247e1
0.7890625,64,-1.06536676460635006496e2
0.7890625,128,-2.14110994289727391728e2
0.7890625,256,-4.29257552701943069900e2
0.7890625,512,-8.59549630945055959618e2
0.79296875,16,-2.57989900552612870468e1
0.79296875,32,-5.26464934753315251277e1
0.79296875,64,-1.06333171378406835231e2
0.79296875,128,-2.13702365411891800458e2
0.79296875,256,-4.28438672928409164434e2
0.79296875,512,-8.57910247728168366703e2
0.796875,16,-2.57496142316993137878e1
0.796875,32,-5.25461525317191284354e1
0.796875,64,-1.06130886949861012124e2
0.796875,128,-2.13296187409393657046e2
0.796875,256,-4.27624704478245868161e2
0.796875,512,-8.56280696733079503736e2
0.80078125,16,-2.57005333231736253566e1
0.80078125,32,-5.24464108587415465861e1
0.80078125,64,-1.05929810521910835136e2
0.80078125,128,-2.12892434876815521874e2
0.80078125,256,-4.26815596441355205462e2
0.80078125,512,-8.54660876040320792917e2
0.8046875,16,-2.56517442868114015480e1
0.8046875,32,-5.23472622730042442068e1
0.8046875,64,-1.05729929630042547807e2
0.8046875,128,-2.12491082787367317074e2
0.8046875,256,-4.26011298666375517948e2
0.8046875,512,-8.53050685249377946204e2
0.80859375,16,-2.56032441248736471681e1
0.80859375,32,-5.22487006828321166950e1
0.80859375,64,-1.05531231994633525167e2
0.80859375,128,-2.12092106485493741916e2
0.80859375,256,-4.25211761745867337733e2
0.80859375,512,-8.51450025449033753810e2
0.8125,16,-2.55550298838781767956e1
0.8125,32,-5.21507200864872101306e1
0.8125,64,-1.05333705517359459650e2
0.8125,128,-2.11695481679660388600e2
0.8125,256,-4.24416937001857361900e2
0.8125,512,-8.49858799188427775489e2
0.81640625,16,-2.55070986537436983225e1
0.81640625,32,-5.20533145704293188645e1
0.81640625,64,-1.05137338277687982535e2
0.81640625,128,-2.11301184435313409274e2
0.81640625,256,-4.23626776471730209623e2
0.81640625,512,-8.48276910448812277328e2
0.8203125,16,-2.54594475669543902193e1
0.8203125,32,-5.19564783076182311632e1
0.8203125,64,-1.04942118529456242147e2
0.8203125,128,-2.10909191168007757254e2
0.8203125,256,-4.22841232894457988374e2
0.8203125,512,-8.46704264615984447407e2
0.82421875,16,-2.54120737977443876000e1
0.82421875,32,-5.18602055558564341952e1
0.82421875,64,-1.04748034697530042531e2
0.82421875,128,-2.10519478636699191009e2
0.82421875,256,-4.22060259697158027491e2
0.82421875,512,-8.45140768453375588024e2
0.828125,16,-2.53649745613016115321e1
0.828125,32,-5.17644906561711290173e1
0.828125,64,-1.04555075374542225684e2
0.828125,128,-2.10132023937195388824e2
0.828125,256,-4.21283810981969456685e2
0.828125,512,-8.43586330075778621372e2
0.83203125,16,-2.53181471129903946794e1
0.83203125,32,-5.16693280312344440955e1
0.83203125,64,-1.04363229317708056767e2
0.83203125,128,-2.09746804495761675376e2
0.83203125,256,-4.20511841513239614327e2
0.83203125,512,-8.42040858923695860736e2
0.8359375,16,-2.52715887475923743061e1
0.8359375,32,-5.15747121838207723633e1
0.8359375,64,-1.04172485445715445254e2
0.8359375,128,-2.09363798062877009049e2
0.8359375,256,-4.19744306705011566101e2
0.8359375,512,-8.40504265738289591335e2
0.83984375,16,-2.52252967985651409428e1
0.83984375,32,-5.14806376953001919174e1
0.83984375,64,-1.03982832835687905708e2
0.83984375,128,-2.08982982707136020904e2
0.83984375,256,-4.18981162608804299361e2
0.83984375,512,-8.38976462536918574938e2
0.84375,16,-2.51792686373181476481e1
0.84375,32,-5.13870992241669642557e1
0.84375,64,-1.03794260720218230042e2
0.84375,128,-2.08604336809293033014e2
0.84375,256,-4.18222365901677432631e2
0.84375,512,-8.37457362589244141230e2
0.84765625,16,-2.51335016725054008156e1
0.84765625,32,-5.12940915046021365073e1
0.84765625,64,-1.03606758484470908706e2
0.84765625,128,-2.08227839056444115617e2
0.84765625,256,-4.17467873874572543748e2
0.84765625,512,-8.35946880393890057418e2
0.8515625,16,-2.50879933493344689023e1
0.8515625,32,-5.12016093450693054590e1
0.8515625,64,-1.03420315663351401460e2
0.8515625,128,-2.07853468436343369483e2
0.8515625,256,-4.16717644420923474416e2
0.8515625,512,-8.34444931655640876713e2
0.85546875,16,-2.50427411488913603179e1
0.85546875,32,-5.11096476269426313879e1
0.85546875,64,-1.03234921938740419288e2
0.85546875,128,-2.07481204231849742075e2
0.85546875,256,-4.15971636025528213947e2
0.85546875,512,-8.32951433263163956736e2
0.859375,16,-2.49977425874808360352e1
0.859375,32,-5.10182013031662188092e1
0.859375,64,-1.03050567136791437654e2
0.859375,128,-2.07111026015500803955e2
0.859375,256,-4.15229807753675201012e2
0.859375,512,-8.31466303267240811493e2
0.86328125,16,-2.49529952159817362821e1
0.86328125,32,-5.09272653969440092989e1
0.86328125,64,-1.02867241225289717865e2
0.86328125,128,-2.06742913644210025359e2
0.86328125,256,-4.14492119240517109717e2
0.86328125,512,-8.29989460859493915988e2
0.8671875,16,-2.49084966192169139775e1
0.8671875,32,-5.08368350004593585808e1
0.8671875,64,-1.02684934311071167771e2
0.8671875,128,-2.06376847254084202300e2
0.8671875,256,-4.13758530680685405583e2
0.8671875,512,-8.28520826351595521513e2
0.87109375,16,-2.48642444153373803982e1
0.87109375,32,-5.07469052736234961325e1
0.87109375,64,-1.02503636637499425611e2
0.87109375,128,-2.06012807255357787050e2
0.87109375,256,-4.13029002818139168419e2
0.87109375,512,-8.27060321154945462820e2
0.875,16,-2.48202362552202809276e1
0.875,32,-5.06574714428520906887e1
0.875,64,-1.02323338581999601408e2
0.875,128,-2.05650774327440979557e2
0.875,256,-4.12303496936241882847e2
0.875,512,-8.25607867760805346441e2
0.87890625,16,-2.47764698218803306621e1
0.87890625,32,-5.05685287998691692564e1
0.87890625,64,-1.02144030653647159248e2
0.87890625,128,-2.05290729414078534430e2
0.87890625,256,-4.11581974848060093842e2
0.87890625,512,-8.24163389720876902876e2
0.8828125,16,-2.47329428298943511505e1
0.8828125,32,-5.04800727005376606261e1
0.8828125,64,-1.01965703490810470792e2
0.8828125,128,-2.04932653718616332732e2
0.8828125,256,-4.10864398886878014179e2
